#:GATKReport.v1.1:8
#:GATKTable:10:80:%s:%s:%s:%s:%s:%s:%s:%s:%s:%s:;
#:GATKTable:.qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator:Job logs for .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator
jobName               exechosts              startTime      formattedStartTime     analysisName                                                    iteration  intermediate  formattedDoneTime      runtime  doneTime     
HaplotypeCaller-6-14  respublica.cm.cluster  1356402990798  12-12-24 21:36:30:798  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:30:807        9  1356402990807
HaplotypeCaller-6-71  respublica.cm.cluster  1356402991247  12-12-24 21:36:31:247  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:254        7  1356402991254
HaplotypeCaller-6-38  respublica.cm.cluster  1356402990994  12-12-24 21:36:30:994  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:001        7  1356402991001
HaplotypeCaller-6-19  respublica.cm.cluster  1356402990842  12-12-24 21:36:30:842  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:30:850        8  1356402990850
HaplotypeCaller-6-65  respublica.cm.cluster  1356402991205  12-12-24 21:36:31:205  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:214        9  1356402991214
HaplotypeCaller-6-52  respublica.cm.cluster  1356402991106  12-12-24 21:36:31:106  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:115        9  1356402991115
HaplotypeCaller-6-69  respublica.cm.cluster  1356402991234  12-12-24 21:36:31:234  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:241        7  1356402991241
HaplotypeCaller-6-76  respublica.cm.cluster  1356402991283  12-12-24 21:36:31:283  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:297       14  1356402991297
HaplotypeCaller-6-64  respublica.cm.cluster  1356402991196  12-12-24 21:36:31:196  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:205        9  1356402991205
HaplotypeCaller-6-32  respublica.cm.cluster  1356402990949  12-12-24 21:36:30:949  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:30:956        7  1356402990956
HaplotypeCaller-6-30  respublica.cm.cluster  1356402990933  12-12-24 21:36:30:933  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:30:941        8  1356402990941
HaplotypeCaller-6-23  respublica.cm.cluster  1356402990873  12-12-24 21:36:30:873  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:30:881        8  1356402990881
HaplotypeCaller-6-41  respublica.cm.cluster  1356402991022  12-12-24 21:36:31:022  .qlog_out.haplotypecaller.raw.filtered.snpEff.vcf.varannotator          1  true          12-12-24 21:36:31:029        7  1356402991029
